dataset,categoria,organizacion,formato,filas,columnas,modificado,frecuencia_update,descripcion_ciudadana,tags_sugeridos,comp_completitud_global_pct,acc_score_accuracy_pct,cons_score_consistency_pct,uniq_score_uniqueness_pct,time_score_timeliness_pct,doc_score_documentation_pct,open_score_openness_pct,score_global
directorio-de-servicios-ofrecidos-en-pabellon-ciudadano,Administración,Secretaría de Administración,CSV,10,9,2025-10-13T17:07:59.449070,,,[],77.78,95.56,100.0,100.0,89.81,70.0,100.0,88.71
personal-de-las-dependencias-por-rango-de-edad,Administración,Secretaría de Administración,CSV,114,22,2025-10-13T16:54:31.512067,,,[],97.49,98.18,77.2,100.0,89.81,70.0,100.0,91.86
personal-de-las-dependencias-por-rango-de-edad,Administración,Secretaría de Administración,CSV,998,26,2025-10-13T16:54:31.512067,,,[],0.59,97.69,100.0,0.0,89.81,70.0,100.0,58.09
personal-de-las-dependencias-gubernamentales-por-sexo,Administración y Finanzas,Secretaría de Administración,CSV,51356,6,2025-10-13T16:54:25.874037,,,[],100.0,95.0,99.0,0.0,89.81,70.0,100.0,87.09
personal-de-las-dependencias-gubernamentales-por-sexo,Administración y Finanzas,Secretaría de Administración,CSV,6,9,2025-10-13T16:54:25.874037,,,[],77.78,95.56,100.0,100.0,89.81,70.0,100.0,88.71
consulta-general-y-especialidades,Salud,Secretaría de Salud,CSV,50000,15,2025-10-10T22:53:40.763016,,,[],99.61,97.33,90.44,100.0,89.64,70.0,100.0,94.26
consulta-general-y-especialidades,Salud,Secretaría de Salud,CSV,50000,15,2025-10-10T22:53:40.763016,,,[],98.87,97.33,89.3,100.0,89.64,70.0,100.0,93.87
consulta-general-y-especialidades,Salud,Secretaría de Salud,CSV,49998,15,2025-10-10T22:53:40.763016,,,[],99.64,100.0,94.6,100.0,89.64,70.0,100.0,95.56
consulta-general-y-especialidades,Salud,Secretaría de Salud,CSV,50000,15,2025-10-10T22:53:40.763016,,,[],99.18,97.33,90.0,100.0,89.64,70.0,100.0,94.07
consulta-general-y-especialidades,Salud,Secretaría de Salud,CSV,50000,15,2025-10-10T22:53:40.763016,,,[],99.7,100.0,91.66,100.0,89.64,70.0,100.0,95.14
consulta-general-y-especialidades,Salud,Secretaría de Salud,CSV,50000,15,2025-10-10T22:53:40.763016,,,[],99.27,100.0,87.68,100.0,89.64,70.0,100.0,94.42
consulta-general-y-especialidades,Salud,Secretaría de Salud,CSV,50000,15,2025-10-10T22:53:40.763016,,,[],99.68,97.33,85.94,100.0,89.64,70.0,100.0,93.61
consulta-general-y-especialidades,Salud,Secretaría de Salud,CSV,50000,15,2025-10-10T22:53:40.763016,,,[],98.79,100.0,97.58,100.0,89.64,70.0,100.0,95.76
consulta-general-y-especialidades,Salud,Secretaría de Salud,CSV,50000,15,2025-10-10T22:53:40.763016,,,[],99.69,97.33,90.8,100.0,89.64,70.0,100.0,94.34
consulta-general-y-especialidades,Salud,Secretaría de Salud,CSV,50000,15,2025-10-10T22:53:40.763016,,,[],99.15,100.0,96.24,100.0,89.64,70.0,100.0,95.66
consulta-general-y-especialidades,Salud,Secretaría de Salud,CSV,50000,15,2025-10-10T22:53:40.763016,,,[],99.62,97.33,89.96,100.0,89.64,70.0,100.0,94.19
consulta-general-y-especialidades,Salud,Secretaría de Salud,CSV,50000,15,2025-10-10T22:53:40.763016,,,[],98.77,100.0,96.9,100.0,89.64,70.0,100.0,95.65
consulta-general-y-especialidades,Salud,Secretaría de Salud,CSV,50000,15,2025-10-10T22:53:40.763016,,,[],99.67,97.33,88.8,100.0,89.64,70.0,100.0,94.04
consulta-general-y-especialidades,Salud,Secretaría de Salud,CSV,50000,15,2025-10-10T22:53:40.763016,,,[],98.91,100.0,92.16,100.0,89.64,70.0,100.0,94.98
consulta-general-y-especialidades,Salud,Secretaría de Salud,CSV,50000,15,2025-10-10T22:53:40.763016,,,[],99.66,97.33,88.16,100.0,89.64,70.0,100.0,93.94
consulta-general-y-especialidades,Salud,Secretaría de Salud,CSV,50000,15,2025-10-10T22:53:40.763016,,,[],98.75,100.0,95.54,100.0,89.64,70.0,100.0,95.44
consulta-general-y-especialidades,Salud,Secretaría de Salud,CSV,49999,15,2025-10-10T22:53:40.763016,,,[],99.62,97.33,88.86,100.0,89.64,70.0,100.0,94.03
consulta-general-y-especialidades,Salud,Secretaría de Salud,CSV,50000,15,2025-10-10T22:53:40.763016,,,[],98.72,100.0,92.26,100.0,89.64,70.0,100.0,94.94
consulta-general-y-especialidades,Salud,Secretaría de Salud,CSV,50000,15,2025-10-10T22:53:40.763016,,,[],99.59,97.33,87.1,100.0,89.64,70.0,100.0,93.76
consulta-general-y-especialidades,Salud,Secretaría de Salud,CSV,50000,15,2025-10-10T22:53:40.763016,,,[],99.59,100.0,87.5,100.0,89.64,70.0,100.0,94.48
consulta-general-y-especialidades,Salud,Secretaría de Salud,CSV,33925,15,2025-10-10T22:53:40.763016,,,[],99.43,100.0,85.78,100.0,89.64,70.0,100.0,94.18
consulta-general-y-especialidades,Salud,Secretaría de Salud,CSV,14,6,2025-10-10T22:53:40.763016,,,[],89.29,91.67,100.0,100.0,89.64,70.0,100.0,91.19
planificacion-familiar,Perspectiva de Género e Interseccionalidad,Secretaría de Salud,CSV,27742,15,2025-10-10T22:53:16.139251,,,[],99.75,97.33,95.82,100.0,89.64,70.0,100.0,95.11
planificacion-familiar,Perspectiva de Género e Interseccionalidad,Secretaría de Salud,CSV,14,6,2025-10-10T22:53:16.139251,,,[],89.29,91.67,100.0,100.0,89.64,70.0,100.0,91.19
salud-bucal,Salud,Secretaría de Salud,CSV,49999,15,2025-10-10T22:52:55.678799,,,[],97.75,98.67,95.38,100.0,89.64,70.0,100.0,94.78
salud-bucal,Salud,Secretaría de Salud,CSV,67896,15,2025-10-10T22:52:55.678799,,,[],99.91,98.67,97.76,100.0,89.64,70.0,100.0,95.79
salud-bucal,Salud,Secretaría de Salud,CSV,14,6,2025-10-10T22:52:55.678799,,,[],89.29,91.67,100.0,100.0,89.64,70.0,100.0,91.19
salud-mental,Salud,Secretaría de Salud,CSV,48224,15,2025-10-10T22:52:30.019188,,,[],100.0,98.67,99.74,100.0,89.64,70.0,100.0,96.11
salud-mental,Salud,Secretaría de Salud,CSV,14,6,2025-10-10T22:52:30.019188,,,[],89.29,91.67,100.0,100.0,89.64,70.0,100.0,91.19
diagnosticos-comunitarios-2024,Participación,Secretaría de Participación Ciudadana,CSV,52,92,2025-09-18T18:36:44.840881,,,[],99.87,98.91,88.48,100.0,88.44,70.0,100.0,94.38
diagnosticos-comunitarios-2024,Participación,Secretaría de Participación Ciudadana,CSV,50,92,2025-09-18T18:36:44.840881,,,[],99.87,98.91,89.2,100.0,88.44,70.0,100.0,94.49
diagnosticos-comunitarios-2024,Participación,Secretaría de Participación Ciudadana,CSV,48,92,2025-09-18T18:36:44.840881,,,[],99.77,98.91,88.54,100.0,88.44,70.0,100.0,94.36
diagnosticos-comunitarios-2024,Participación,Secretaría de Participación Ciudadana,CSV,44,92,2025-09-18T18:36:44.840881,,,[],99.98,98.7,87.72,100.0,88.44,70.0,100.0,94.25
diagnosticos-comunitarios-2024,Participación,Secretaría de Participación Ciudadana,CSV,91,7,2025-09-18T18:36:44.840881,,,[],85.87,85.71,100.0,100.0,88.44,70.0,100.0,88.61
audiencias-publicas,Participación,Secretaría de Participación Ciudadana,CSV,8,35,2025-09-17T16:41:27.326474,,,[],68.93,93.86,100.0,100.0,88.38,70.0,100.0,85.56
audiencias-publicas,Participación,Secretaría de Participación Ciudadana,CSV,4,35,2025-09-17T16:41:27.326474,,,[],70.0,93.57,100.0,100.0,88.38,70.0,100.0,85.81
audiencias-publicas,Participación,Secretaría de Participación Ciudadana,CSV,35,9,2025-09-17T16:41:27.326474,,,[],56.83,93.33,100.0,100.0,88.38,70.0,100.0,81.8
audiencias-publicas,Participación,Secretaría de Participación Ciudadana,CSV,35,9,2025-09-17T16:41:27.326474,,,[],56.83,93.33,100.0,100.0,88.38,70.0,100.0,81.8
