dataset,categoria,organizacion,formato,filas,columnas,modificado,frecuencia_update,descripcion_ciudadana,tags_sugeridos,comp_completitud_global_pct,acc_score_accuracy_pct,cons_score_consistency_pct,uniq_score_uniqueness_pct,time_score_timeliness_pct,doc_score_documentation_pct,open_score_openness_pct,score_global
nacimientos-registrados-en-unidades-hospitalarias-de-los-servicios-de-salud-de-nuevo-leon,Sin categoría,"Servicios de salud de Nuevo León, O.P.D.",.CSV,12641,14,2026-03-13T17:36:16.435655,,,[],100.0,100.0,91.46,100.0,98.08,70.0,60.0,92.82
nacimientos-registrados-en-unidades-hospitalarias-de-los-servicios-de-salud-de-nuevo-leon,Sin categoría,"Servicios de salud de Nuevo León, O.P.D.",.CSV,14,6,2026-03-13T17:36:16.435655,,,[],91.67,96.67,99.5,100.0,98.08,70.0,60.0,90.7
pueblos_magicos_nuevo_leon,Turismo,Secretaría de Turismo,CSV,5,4,2026-03-12T15:32:31.702822,,,[],100.0,100.0,100.0,100.0,98.03,70.0,100.0,96.9
pueblos_magicos_nuevo_leon,Turismo,Secretaría de Turismo,CSV,7,6,2026-03-12T15:32:31.702822,,,[],52.38,90.83,100.0,42.86,98.03,70.0,100.0,75.75
conciliacioneslaborales,Administración y Finanzas,Centro de Conciliación Laboral,CSV,59964,16,2026-03-11T15:39:26.235394,,,[],75.0,98.12,75.34,71.42,97.97,70.0,100.0,82.94
conciliacioneslaborales,Administración y Finanzas,Centro de Conciliación Laboral,CSV,15,6,2026-03-11T15:39:26.235394,,,[],90.0,91.67,99.0,100.0,97.97,70.0,100.0,91.67
2025_iniciacion_deportiva,Deportes,Instituto Estatal de Cultura Física y Deporte (INDE),.CSV,22,14,2026-03-10T17:51:37.860018,,,[],100.0,91.79,99.5,100.0,97.92,80.0,60.0,92.97
2025_iniciacion_deportiva,Deportes,Instituto Estatal de Cultura Física y Deporte (INDE),.CSV,14,7,2026-03-10T17:51:37.860018,,,[],73.47,92.14,99.5,100.0,97.92,80.0,60.0,85.1
2025_campamento_verano,Deportes,Instituto Estatal de Cultura Física y Deporte (INDE),.CSV,5,16,2026-03-10T17:47:44.428216,,,[],98.75,93.12,100.0,100.0,97.92,70.0,60.0,92.0
2025_campamento_verano,Deportes,Instituto Estatal de Cultura Física y Deporte (INDE),.CSV,15,6,2026-03-10T17:47:44.428216,,,[],85.56,90.83,99.5,100.0,97.92,70.0,60.0,87.4
2025_clinica_adultos,Deportes,Instituto Estatal de Cultura Física y Deporte (INDE),.CSV,9,13,2026-03-10T17:41:30.146605,,,[],100.0,92.31,100.0,100.0,97.92,80.0,60.0,93.17
2025_clinica_adultos,Deportes,Instituto Estatal de Cultura Física y Deporte (INDE),.CSV,13,7,2026-03-10T17:41:30.146605,,,[],73.63,92.14,99.5,100.0,97.92,80.0,60.0,85.14
matricula-total-de-la-universidad,Sin categoría,Universidad Tecnológica Gral. Mariano Escobedo,CSV,23,6,2026-03-09T22:42:17.766155,,,[],100.0,95.0,99.5,100.0,97.86,60.0,100.0,94.57
matricula-total-de-la-universidad,Sin categoría,Universidad Tecnológica Gral. Mariano Escobedo,CSV,6,6,2026-03-09T22:42:17.766155,,,[],94.44,80.83,100.0,100.0,97.86,60.0,100.0,89.43
2025-proyectos-estrategicos,Sin categoría,Fideicomiso FIDEURB (BP6823),CSV,233,7,2026-03-09T22:21:52.307058,,,[],100.0,90.71,100.0,100.0,97.86,70.0,100.0,94.57
2025-proyectos-estrategicos,Sin categoría,Fideicomiso FIDEURB (BP6823),CSV,7,6,2026-03-09T22:21:52.307058,,,[],80.95,91.67,100.0,100.0,97.86,70.0,100.0,89.1
planteles-colegio-militarizado-general-mariano-escobedo-del-estado-de-nuevo-leon,Educación,"Colegio Militarizado ""General Mariano Escobedo""",CSV,11,12,2026-03-09T16:16:00.551439,,,[],100.0,97.5,100.0,100.0,97.86,70.0,100.0,96.27
planteles-colegio-militarizado-general-mariano-escobedo-del-estado-de-nuevo-leon,Educación,"Colegio Militarizado ""General Mariano Escobedo""",CSV,13,6,2026-03-09T16:16:00.551439,,,[],83.33,91.67,100.0,38.46,97.86,70.0,100.0,84.89
conjunto-de-datos-idpnl,Sin categoría,Instituto de Defensoría Pública de Nuevo León,CSV,111,35,2026-03-09T16:10:19.313342,,,[],73.64,99.43,75.62,100.0,97.86,70.0,100.0,85.19
conjunto-de-datos-idpnl,Sin categoría,Instituto de Defensoría Pública de Nuevo León,CSV,35,6,2026-03-09T16:10:19.313342,,,[],83.33,85.83,100.0,100.0,97.86,70.0,100.0,88.35
solicitudes-de-acceso-a-la-informacion-recibidas-por-codetur,Sin categoría,Corporación para el Desarrollo Turístico de Nuevo León,CSV,11,21,2026-03-06T23:14:31.222090,,,[],64.94,89.52,100.0,100.0,97.7,70.0,100.0,83.75
solicitudes-de-acceso-a-la-informacion-recibidas-por-codetur,Sin categoría,Corporación para el Desarrollo Turístico de Nuevo León,CSV,21,2,2026-03-06T23:14:31.222090,,,[],95.24,100.0,100.0,100.0,97.7,70.0,100.0,95.46
residuos-solidos-urbanos,Sin categoría,Sistema Integral para el Manejo Ecológico y Procesamiento de Desechos (SIMEPRODE),CSV,195,5,2026-03-05T23:00:37.816439,,,[],97.33,89.0,100.0,100.0,97.64,80.0,100.0,94.33
residuos-solidos-urbanos,Sin categoría,Sistema Integral para el Manejo Ecológico y Procesamiento de Desechos (SIMEPRODE),CSV,4,6,2026-03-05T23:00:37.816439,,,[],87.5,93.33,100.0,100.0,97.64,80.0,100.0,92.46
frecuencia-servicios-prestados-parque-fundidora,Sin categoría,"Parque Fundidora, O.P.D",.CSV,12,9,2026-03-05T21:46:19.685477,,,[],100.0,97.78,100.0,100.0,97.64,70.0,60.0,93.53
frecuencia-servicios-prestados-parque-fundidora,Sin categoría,"Parque Fundidora, O.P.D",.CSV,9,6,2026-03-05T21:46:19.685477,,,[],96.3,94.17,100.0,100.0,97.64,70.0,60.0,91.51
base-de-datos-de-entrega-de-acciones-de-vivienda,Sin categoría,Instituto de la Vivienda,CSV,374,10,2026-03-03T18:34:21.134543,,,[],99.84,96.5,81.12,100.0,97.53,70.0,100.0,93.12
base-de-datos-de-entrega-de-acciones-de-vivienda,Sin categoría,Instituto de la Vivienda,CSV,9,6,2026-03-03T18:34:21.134543,,,[],98.15,96.67,100.0,100.0,97.53,70.0,100.0,95.49
conferencias-cursos-y-foros-2025,Sin categoría,Universidad de Ciencias de la Seguridad,CSV,12,8,2026-03-02T18:34:00.992032,,,[],98.96,98.12,100.0,100.0,97.48,80.0,100.0,97.09
conferencias-cursos-y-foros-2025,Sin categoría,Universidad de Ciencias de la Seguridad,CSV,8,6,2026-03-02T18:34:00.992032,,,[],100.0,91.67,100.0,100.0,97.48,80.0,100.0,95.79
solicitudes-de-acceso-a-la-informacion-enero-2025-enero2026,Sin categoría,Oficina de Representación del Estado en la Ciudad de Mexico,CSV,5,21,2026-03-02T18:12:29.525493,,,[],76.19,92.38,100.0,100.0,97.48,70.0,100.0,87.83
solicitudes-de-acceso-a-la-informacion-enero-2025-enero2026,Sin categoría,Oficina de Representación del Estado en la Ciudad de Mexico,CSV,20,6,2026-03-02T18:12:29.525493,,,[],84.17,93.33,100.0,100.0,97.48,70.0,100.0,90.46
maltrato-animal-t4-2025,Sin categoría,Secretaría de Medio Ambiente,CSV,122,10,2026-03-02T16:46:24.178561,,,[],90.0,90.5,100.0,100.0,97.48,70.0,100.0,91.5
maltrato-animal-t4-2025,Sin categoría,Secretaría de Medio Ambiente,CSV,9,6,2026-03-02T16:46:24.178561,,,[],85.19,96.67,100.0,100.0,97.48,70.0,100.0,91.6
labnl-lab-cultural-ciudadano-2022-2023,Arte y Cultura,Secretaría de Cultura,CSV,1799,89,2026-02-27T19:13:04.386237,,,[],58.26,98.31,66.66,50.76,97.32,70.0,100.0,74.98
labnl-lab-cultural-ciudadano-2022-2023,Arte y Cultura,Secretaría de Cultura,CSV,900,89,2026-02-27T19:13:04.386237,,,[],64.87,98.31,69.62,100.0,97.32,70.0,100.0,81.35
labnl-lab-cultural-ciudadano-2022-2023,Arte y Cultura,Secretaría de Cultura,CSV,45,6,2026-02-27T19:13:04.386237,,,[],86.3,94.17,100.0,100.0,97.32,70.0,100.0,91.3
personas-beneficiarias-del-programa-jefas-de-familia,Asistencia Social,Secretaría de Igualdad e Inclusión,CSV,51,14,2026-02-27T00:25:50.382617,,,[],100.0,100.0,79.08,100.0,97.26,70.0,100.0,93.72
personas-beneficiarias-del-programa-jefas-de-familia,Asistencia Social,Secretaría de Igualdad e Inclusión,CSV,13,6,2026-02-27T00:25:50.382617,,,[],83.33,96.67,100.0,100.0,97.26,70.0,100.0,91.03
directorio-de-centros-comunitarios,Arte y Cultura,Secretaría de Igualdad e Inclusión,CSV,47,9,2026-02-27T00:25:09.674200,,,[],95.98,93.89,100.0,100.0,97.26,70.0,100.0,94.13
directorio-de-centros-comunitarios,Arte y Cultura,Secretaría de Igualdad e Inclusión,CSV,8,6,2026-02-27T00:25:09.674200,,,[],83.33,91.67,100.0,100.0,97.26,70.0,100.0,89.78
directorio-de-centros-de-atencion-integral-para-adolescentes,Asistencia Social,Secretaría de Igualdad e Inclusión,CSV,22,8,2026-02-27T00:24:37.316932,,,[],94.32,91.25,100.0,100.0,97.26,70.0,100.0,92.97
directorio-de-centros-de-atencion-integral-para-adolescentes,Asistencia Social,Secretaría de Igualdad e Inclusión,CSV,7,6,2026-02-27T00:24:37.316932,,,[],83.33,94.17,100.0,100.0,97.26,70.0,100.0,90.4
personas-beneficiarias-de-del-programa-personas-con-discapacidad,Sin categoría,Secretaría de Igualdad e Inclusión,CSV,51,14,2026-02-27T00:24:20.034304,,,[],100.0,100.0,72.54,100.0,97.26,70.0,100.0,92.74
personas-beneficiarias-de-del-programa-personas-con-discapacidad,Sin categoría,Secretaría de Igualdad e Inclusión,CSV,13,6,2026-02-27T00:24:20.034304,,,[],83.33,96.67,100.0,100.0,97.26,70.0,100.0,91.03
talleres-realizados-en-los-centros-comunitarios-de-desarrollo-social,Arte y Cultura,Secretaría de Igualdad e Inclusión,CSV,47,8,2026-02-26T23:14:43.217177,,,[],99.73,100.0,86.38,100.0,97.26,70.0,100.0,94.74
talleres-realizados-en-los-centros-comunitarios-de-desarrollo-social,Arte y Cultura,Secretaría de Igualdad e Inclusión,CSV,7,6,2026-02-26T23:14:43.217177,,,[],83.33,96.67,100.0,100.0,97.26,70.0,100.0,91.03
organos-colegiados,Participación,Secretaría de Participación Ciudadana,CSV,77,26,2026-02-26T22:28:17.812030,,,[],86.76,87.12,74.3,100.0,97.26,70.0,100.0,85.82
organos-colegiados,Participación,Secretaría de Participación Ciudadana,CSV,99,42,2026-02-26T22:28:17.812030,,,[],37.93,91.31,83.5,33.34,97.26,70.0,100.0,68.26
organos-colegiados,Participación,Secretaría de Participación Ciudadana,CSV,26,7,2026-02-26T22:28:17.812030,,,[],74.73,90.0,100.0,100.0,97.26,70.0,100.0,86.78
organos-colegiados,Participación,Secretaría de Participación Ciudadana,CSV,26,8,2026-02-26T22:28:17.812030,,,[],65.38,91.25,100.0,100.0,97.26,70.0,100.0,84.29
tramites_y_servicios,Sin categoría, Secretaría de Economía,CSV,16,12,2026-02-26T22:18:33.932516,,,[],100.0,94.17,99.5,100.0,97.26,70.0,100.0,95.33
tramites_y_servicios,Sin categoría, Secretaría de Economía,CSV,7,6,2026-02-26T22:18:33.932516,,,[],83.33,87.5,100.0,100.0,97.26,70.0,100.0,88.74
personas-beneficiarias-del-programa-impulso-a-cuidadoras,Asistencia Social,Secretaría de Igualdad e Inclusión,CSV,51,14,2026-02-26T22:02:08.346462,,,[],100.0,100.0,82.36,100.0,97.26,70.0,100.0,94.22
personas-beneficiarias-del-programa-impulso-a-cuidadoras,Asistencia Social,Secretaría de Igualdad e Inclusión,CSV,13,6,2026-02-26T22:02:08.346462,,,[],83.33,96.67,100.0,100.0,97.26,70.0,100.0,91.03
personas-beneficiarias-del-programa-hambre-cero,Asistencia Social,Secretaría de Igualdad e Inclusión,CSV,51,5,2026-02-26T21:28:49.306710,,,[],100.0,100.0,71.24,100.0,97.26,70.0,100.0,92.55
personas-beneficiarias-del-programa-hambre-cero,Asistencia Social,Secretaría de Igualdad e Inclusión,CSV,4,6,2026-02-26T21:28:49.306710,,,[],83.33,96.67,100.0,100.0,97.26,70.0,100.0,91.03
servicios-para-el-campo,Sin categoría,Promotora de Desarrollo Rural de Nuevo León – PRODERLEON,.CSV,515,13,2026-02-26T18:14:05.054664,,,[],82.91,95.0,85.84,93.0,97.26,80.0,60.0,86.0
servicios-para-el-campo,Sin categoría,Promotora de Desarrollo Rural de Nuevo León – PRODERLEON,.CSV,13,6,2026-02-26T18:14:05.054664,,,[],100.0,87.5,100.0,100.0,97.26,80.0,60.0,91.94
capacitaciones-portafolio-2025-2026,Sin categoría,Instituto Estatal de las Mujeres,.CSV,56,7,2026-02-26T16:31:40.263584,,,[],100.0,91.43,77.58,100.0,97.26,80.0,60.0,89.56
capacitaciones-portafolio-2025-2026,Sin categoría,Instituto Estatal de las Mujeres,.CSV,7,6,2026-02-26T16:31:40.263584,,,[],83.33,96.67,99.5,100.0,97.26,80.0,60.0,89.15
datos-de-fidecultural-2019-2024,Sin categoría,Fideicomiso para la Conservación del Patrimonio Cultural de Nuevo León (FIDECULTURAL),CSV,981,6,2026-02-25T23:57:46.475038,,,[],5.69,100.0,100.0,0.0,97.21,80.0,100.0,61.57
datos-de-fidecultural-2019-2024,Sin categoría,Fideicomiso para la Conservación del Patrimonio Cultural de Nuevo León (FIDECULTURAL),CSV,5,6,2026-02-25T23:57:46.475038,,,[],83.33,96.67,100.0,100.0,97.21,80.0,100.0,92.03
solicitudes-de-acceso-a-la-informacion-sistema-de-caminos,Transparencia y Combate a la Corrupción,Sistema de Caminos de Nuevo León,CSV,69,14,2026-02-25T22:06:42.503552,,,[],57.04,94.29,100.0,100.0,97.21,70.0,100.0,82.54
solicitudes-de-acceso-a-la-informacion-sistema-de-caminos,Transparencia y Combate a la Corrupción,Sistema de Caminos de Nuevo León,CSV,13,6,2026-02-25T22:06:42.503552,,,[],100.0,94.17,100.0,100.0,97.21,70.0,100.0,95.4
directorio-iiiepe,Sin categoría,"Instituto de Investigación, Innovación y Estudios de Posgrado para la Educación del Estado de Nuevo León",CSV,4,9,2026-02-25T22:04:21.574067,,,[],100.0,98.33,99.5,100.0,97.21,70.0,100.0,96.37
directorio-iiiepe,Sin categoría,"Instituto de Investigación, Innovación y Estudios de Posgrado para la Educación del Estado de Nuevo León",CSV,9,6,2026-02-25T22:04:21.574067,,,[],87.04,96.67,100.0,100.0,97.21,70.0,100.0,92.14
solicitudes-de-acceso-a-la-informacion-recibidas-por-el-sistema-estatal-de-informacion,Transparencia y Combate a la Corrupción,Sistema Estatal de Información,CSV,65,16,2026-02-24T16:09:20.078027,,,[],41.83,90.0,100.0,0.0,97.15,70.0,100.0,68.91
solicitudes-de-acceso-a-la-informacion-recibidas-por-el-sistema-estatal-de-informacion,Transparencia y Combate a la Corrupción,Sistema Estatal de Información,CSV,17,6,2026-02-24T16:09:20.078027,,,[],79.41,90.83,100.0,100.0,97.15,70.0,100.0,88.39
proyectos-apoyados-por-el-i2t2,Sin categoría,Instituto de Innovación y Transferencia Tecnológica de Nuevo León,CSV,9,8,2026-02-23T18:32:37.963161,,,[],73.61,87.5,100.0,100.0,97.1,70.0,100.0,85.81
proyectos-apoyados-por-el-i2t2,Sin categoría,Instituto de Innovación y Transferencia Tecnológica de Nuevo León,CSV,8,6,2026-02-23T18:32:37.963161,,,[],93.75,86.67,99.5,100.0,97.1,70.0,100.0,91.57
lista-de-libros-del-fonedi,Sin categoría,Fondo Editorial de Nuevo León,CSV,981,7,2026-02-23T18:27:53.675704,,,[],61.28,89.29,86.0,40.46,97.1,70.0,100.0,75.7
lista-de-libros-del-fonedi,Sin categoría,Fondo Editorial de Nuevo León,CSV,8,1,2026-02-23T18:27:53.675704,,,[],12.5,80.0,100.0,0.0,97.1,70.0,100.0,57.6
asistencia-de-personas-a-actividades-de-conarte,Sin categoría,Consejo para la Cultura y las Artes de Nuevo León,CSV,530,7,2026-02-23T16:39:10.716286,,,[],100.0,97.14,65.42,100.0,97.1,80.0,100.0,91.95
asistencia-de-personas-a-actividades-de-conarte,Sin categoría,Consejo para la Cultura y las Artes de Nuevo León,CSV,7,6,2026-02-23T16:39:10.716286,,,[],83.33,96.67,100.0,100.0,97.1,80.0,100.0,92.02
solicitud-de-informacion-instituto-registral-y-catastral,Administración y Finanzas,Instituto Registral y Catastral del Estado de Nuevo León,CSV,31,4,2026-02-23T16:22:43.896864,,,[],100.0,100.0,100.0,100.0,97.1,70.0,100.0,96.86
solicitud-de-informacion-instituto-registral-y-catastral,Administración y Finanzas,Instituto Registral y Catastral del Estado de Nuevo León,CSV,4,7,2026-02-23T16:22:43.896864,,,[],85.71,91.43,100.0,100.0,97.1,70.0,100.0,90.43
2025_directorio_colaboradores_junta-local-de-conciliacion-y-arbitraje,Sin categoría,Junta Local de Conciliación y Arbitraje,CSV,235,9,2026-02-21T02:07:21.086239,,,[],100.0,95.56,95.74,100.0,96.93,80.0,100.0,96.1
2025_directorio_colaboradores_junta-local-de-conciliacion-y-arbitraje,Sin categoría,Junta Local de Conciliación y Arbitraje,CSV,9,5,2026-02-21T02:07:21.086239,,,[],100.0,92.0,100.0,100.0,96.93,80.0,100.0,95.85
indicadores-de-desempeno-del-gobierno-del-estado-de-nuevo-leon,Sin categoría,Secretaría Técnica de Gobierno,CSV,86,11,2026-02-21T01:53:35.002526,,,[],95.77,94.55,67.44,100.0,96.93,90.0,100.0,91.33
indicadores-de-desempeno-del-gobierno-del-estado-de-nuevo-leon,Sin categoría,Secretaría Técnica de Gobierno,CSV,4,6,2026-02-21T01:53:35.002526,,,[],83.33,96.67,100.0,100.0,96.93,90.0,100.0,93.01
indicadores-de-desempeno-del-gobierno-del-estado-de-nuevo-leon,Sin categoría,Secretaría Técnica de Gobierno,CSV,86,11,2026-02-21T01:53:35.002526,,,[],95.77,94.55,67.44,100.0,96.93,90.0,100.0,91.33
pib-agroindustrial-por-entidad-federativa-2022-2024,Agricultura,Secretaría de Desarrollo Regional y Agropecuario,CSV,99,5,2026-02-20T20:44:28.489021,,,[],100.0,100.0,82.82,100.0,96.93,70.0,100.0,94.27
pib-agroindustrial-por-entidad-federativa-2022-2024,Agricultura,Secretaría de Desarrollo Regional y Agropecuario,CSV,5,6,2026-02-20T20:44:28.489021,,,[],100.0,96.67,100.0,100.0,96.93,70.0,100.0,96.01
produccion-agricola-2022-2024,Agroalimentario,Secretaría de Desarrollo Regional y Agropecuario,CSV,1134,13,2026-02-20T20:43:48.913053,,,[],100.0,100.0,74.0,100.0,96.93,70.0,100.0,92.95
produccion-agricola-2022-2024,Agroalimentario,Secretaría de Desarrollo Regional y Agropecuario,CSV,12,6,2026-02-20T20:43:48.913053,,,[],94.44,94.17,100.0,100.0,96.93,70.0,100.0,93.72
declaraciones-oficiales-de-la-oficina-ejecutiva,Sin categoría,Oficina Ejecutiva del Titular del Poder Ejecutivo del Estado de Nuevo León,CSV,1000,6,2026-02-19T20:13:38.667711,,,[],1.25,95.0,100.0,0.0,96.88,80.0,100.0,58.97
declaraciones-oficiales-de-la-oficina-ejecutiva,Sin categoría,Oficina Ejecutiva del Titular del Poder Ejecutivo del Estado de Nuevo León,CSV,5,6,2026-02-19T20:13:38.667711,,,[],66.67,91.67,100.0,100.0,96.88,80.0,100.0,85.76
directorio-de-planteles-cecytenl,Educación,Colegio de Estudios Científicos y Tecnológicos del Estado de Nuevo León (CECyTENL),CSV,34,12,2026-02-19T17:29:55.016686,,,[],98.53,95.0,98.52,100.0,96.88,70.0,100.0,94.93
directorio-de-planteles-cecytenl,Educación,Colegio de Estudios Científicos y Tecnológicos del Estado de Nuevo León (CECyTENL),CSV,11,6,2026-02-19T17:29:55.016686,,,[],83.33,96.67,100.0,100.0,96.88,70.0,100.0,91.01
asambleas-juntas-de-mejora,Participación,Secretaría de Participación Ciudadana,CSV,209,51,2026-02-18T16:12:48.490404,,,[],88.62,98.53,84.38,100.0,96.82,70.0,100.0,90.72
asambleas-juntas-de-mejora,Participación,Secretaría de Participación Ciudadana,CSV,188,51,2026-02-18T16:12:48.490404,,,[],87.61,99.41,85.44,100.0,96.82,70.0,100.0,90.79
asambleas-juntas-de-mejora,Participación,Secretaría de Participación Ciudadana,CSV,152,51,2026-02-18T16:12:48.490404,,,[],84.84,99.41,85.02,100.0,96.82,70.0,100.0,89.9
asambleas-juntas-de-mejora,Participación,Secretaría de Participación Ciudadana,CSV,125,30,2026-02-18T16:12:48.490404,,,[],68.72,99.5,83.64,100.0,96.82,70.0,100.0,84.88
asambleas-juntas-de-mejora,Participación,Secretaría de Participación Ciudadana,CSV,93,13,2026-02-18T16:12:48.490404,,,[],92.31,98.85,81.8,100.0,96.82,70.0,100.0,91.52
asambleas-juntas-de-mejora,Participación,Secretaría de Participación Ciudadana,CSV,29,13,2026-02-18T16:12:48.490404,,,[],96.82,97.31,99.0,100.0,96.82,70.0,100.0,95.06
asambleas-juntas-de-mejora,Participación,Secretaría de Participación Ciudadana,CSV,50,6,2026-02-18T16:12:48.490404,,,[],100.0,85.83,100.0,100.0,96.82,70.0,100.0,93.3
asambleas-juntas-de-mejora,Participación,Secretaría de Participación Ciudadana,CSV,30,6,2026-02-18T16:12:48.490404,,,[],96.67,85.83,100.0,100.0,96.82,70.0,100.0,92.3
asambleas-juntas-de-mejora,Participación,Secretaría de Participación Ciudadana,CSV,12,6,2026-02-18T16:12:48.490404,,,[],97.22,85.83,100.0,100.0,96.82,70.0,100.0,92.46
espacios-participativos-en-el-gobierno-del-estado-de-nuevo-leon,Participación,Secretaría de Participación Ciudadana,CSV,1297,35,2026-02-18T15:45:03.172156,,,[],96.81,96.14,100.0,100.0,96.82,85.0,100.0,96.42
espacios-participativos-en-el-gobierno-del-estado-de-nuevo-leon,Participación,Secretaría de Participación Ciudadana,CSV,34,33,2026-02-18T15:45:03.172156,,,[],12.12,99.09,100.0,100.0,96.82,85.0,100.0,71.75
espacios-participativos-en-el-gobierno-del-estado-de-nuevo-leon,Participación,Secretaría de Participación Ciudadana,XLSX,156,27,2026-02-18T15:45:03.172156,,,[],2.04,97.22,100.0,7.7,96.82,85.0,100.0,60.87
espacios-participativos-en-el-gobierno-del-estado-de-nuevo-leon,Participación,Secretaría de Participación Ciudadana,CSV,999,34,2026-02-18T15:45:03.172156,,,[],30.95,98.82,100.0,0.0,96.82,85.0,100.0,69.33
espacios-participativos-en-el-gobierno-del-estado-de-nuevo-leon,Participación,Secretaría de Participación Ciudadana,CSV,998,32,2026-02-18T15:45:03.172156,,,[],0.41,99.06,100.0,0.0,96.82,85.0,100.0,60.23
espacios-participativos-en-el-gobierno-del-estado-de-nuevo-leon,Participación,Secretaría de Participación Ciudadana,XLSX,321,5,2026-02-18T15:45:03.172156,,,[],100.0,100.0,99.38,100.0,96.82,85.0,100.0,98.25
espacios-participativos-en-el-gobierno-del-estado-de-nuevo-leon,Participación,Secretaría de Participación Ciudadana,CSV,106,24,2026-02-18T15:45:03.172156,,,[],95.36,95.42,100.0,100.0,96.82,85.0,100.0,95.8
espacios-participativos-en-el-gobierno-del-estado-de-nuevo-leon,Participación,Secretaría de Participación Ciudadana,CSV,23,32,2026-02-18T15:45:03.172156,,,[],12.5,99.06,100.0,100.0,96.82,85.0,100.0,71.86
espacios-participativos-en-el-gobierno-del-estado-de-nuevo-leon,Participación,Secretaría de Participación Ciudadana,CSV,132,26,2026-02-18T15:45:03.172156,,,[],2.1,97.31,100.0,7.58,96.82,85.0,100.0,60.9
hecho-por-tipo-de-violencia,Sin categoría,Secretaría de las Mujeres,CSV,54701,13,2026-02-17T22:55:17.781017,,,[],100.0,98.46,100.0,100.0,96.77,70.0,100.0,96.45
hecho-por-tipo-de-violencia,Sin categoría,Secretaría de las Mujeres,CSV,22,7,2026-02-17T22:55:17.781017,,,[],82.47,92.14,100.0,100.0,96.77,70.0,100.0,89.61
cursos-de-capacitacion-de-genl,Educación,Secretaría de Administración,CSV,181,6,2026-02-05T00:04:59.722043,,,[],100.0,100.0,92.82,100.0,96.05,70.0,100.0,95.73
cursos-de-capacitacion-de-genl,Educación,Secretaría de Administración,CSV,140,6,2026-02-05T00:04:59.722043,,,[],100.0,95.0,90.92,100.0,96.05,70.0,100.0,94.19
cursos-de-capacitacion-de-genl,Educación,Secretaría de Administración,CSV,999,26,2026-02-05T00:04:59.722043,,,[],0.16,97.69,100.0,0.0,96.05,70.0,100.0,58.27
cultura-para-la-primera-infancia-2022-2023,Arte y Cultura,Secretaría de Cultura,CSV,182,44,2026-02-05T00:04:09.610368,,,[],52.68,94.77,85.78,98.9,96.05,70.0,100.0,79.08
cultura-para-la-primera-infancia-2022-2023,Arte y Cultura,Secretaría de Cultura,CSV,985,20,2026-02-05T00:04:09.610368,,,[],1.06,100.0,100.0,0.0,96.05,70.0,100.0,59.12
atenciones070,Asistencia Social,Secretaría de Participación Ciudadana,CSV,92,4,2026-02-04T23:04:06.541250,,,[],100.0,100.0,98.56,100.0,96.05,70.0,100.0,96.59
atenciones070,Asistencia Social,Secretaría de Participación Ciudadana,CSV,92,4,2026-02-04T23:04:06.541250,,,[],99.73,100.0,100.0,100.0,96.05,70.0,100.0,96.72
atenciones070,Asistencia Social,Secretaría de Participación Ciudadana,CSV,487,4,2026-02-04T23:04:06.541250,,,[],100.0,100.0,97.54,100.0,96.05,70.0,100.0,96.43
atenciones070,Asistencia Social,Secretaría de Participación Ciudadana,CSV,396,4,2026-02-04T23:04:06.541250,,,[],100.0,100.0,97.64,100.0,96.05,70.0,100.0,96.45
atenciones070,Asistencia Social,Secretaría de Participación Ciudadana,CSV,396,4,2026-02-04T23:04:06.541250,,,[],100.0,100.0,97.64,100.0,96.05,70.0,100.0,96.45
atenciones070,Asistencia Social,Secretaría de Participación Ciudadana,CSV,306,4,2026-02-04T23:04:06.541250,,,[],100.0,100.0,98.7,100.0,96.05,70.0,100.0,96.61
atenciones070,Asistencia Social,Secretaría de Participación Ciudadana,CSV,61,4,2026-02-04T23:04:06.541250,,,[],100.0,100.0,98.9,100.0,96.05,70.0,100.0,96.64
atenciones070,Asistencia Social,Secretaría de Participación Ciudadana,CSV,153,4,2026-02-04T23:04:06.541250,,,[],100.0,100.0,100.0,100.0,96.05,70.0,100.0,96.8
atenciones070,Asistencia Social,Secretaría de Participación Ciudadana,CSV,4,7,2026-02-04T23:04:06.541250,,,[],71.43,94.29,100.0,100.0,96.05,70.0,100.0,86.8
contratos-smpu,Infraestructura,Secretaría de Movilidad y Planeación Urbana,CSV,179,8,2026-02-04T22:27:37.808250,,,[],94.2,92.5,89.66,100.0,96.05,70.0,100.0,91.64
contratos-smpu,Infraestructura,Secretaría de Movilidad y Planeación Urbana,CSV,8,8,2026-02-04T22:27:37.808250,,,[],87.5,87.5,100.0,100.0,96.05,70.0,100.0,89.93
estadistica-penitenciaria-de-ingresos,Seguridad,Secretaría de Seguridad,CSV,8575,15,2026-01-14T20:12:35.188886,,,[],96.16,100.0,100.0,39.36,94.9,50.0,65.0,86.29
estadistica-penitenciaria-de-ingresos,Seguridad,Secretaría de Seguridad,CSV,998,26,2026-01-14T20:12:35.188886,,,[],0.27,97.31,100.0,0.0,94.9,50.0,65.0,53.7
estadistica-penitenciaria-de-ingresos,Seguridad,Secretaría de Seguridad,CSV,841,15,2026-01-14T20:12:35.188886,,,[],95.47,94.67,100.0,30.8,94.9,50.0,65.0,84.07
estadistica-penitenciaria-de-ingresos,Seguridad,Secretaría de Seguridad,CSV,625,15,2026-01-14T20:12:35.188886,,,[],95.58,94.67,100.0,34.4,94.9,50.0,65.0,84.39
